R2,57.88,11.14,269.70,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,145.20,5.30,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,82.50,54.03,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,147.35,45.46,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,147.38,46.78,0.00,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,107.34,48.96,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,55.18,13.24,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,62.50,18.28,87.60,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,35.37,30.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,31.73,30.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,35.24,58.34,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,-0.14,100.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,39.00,30.50,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,13.81,108.73,180.00,BUTTON_CUSYOMV1BUTTON,MYBUTTON
R_BOOT,35.48,108.71,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,82.55,43.82,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,50.35,108.71,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,64.23,25.16,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,10.50,108.51,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,144.31,10.40,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,54.90,11.00,0.00,,SJ
TP1,2.87,70.82,0.00,TP,TP20R
TP10,11.09,45.87,0.00,TP,TP20R
TP11,-3.43,45.87,0.00,TP,TP20R
TP12,8.08,70.82,0.00,TP,TP20R
TP13,10.69,70.82,0.00,TP,TP20R
TP14,138.84,42.62,0.00,TP,TP20R
TP15,5.64,45.87,0.00,TP,TP20R
TP16,-6.46,45.87,0.00,TP,TP20R
TP17,66.39,29.12,0.00,TP,TP20R
TP2,5.48,70.82,0.00,TP,TP20R
TP3,118.40,49.92,0.00,TP,TP20R
TP4,18.02,58.02,0.00,TP,TP20R
TP5,18.04,54.72,0.00,TP,TP20R
TP6,-2.34,70.82,0.00,TP,TP20R
TP7,2.62,45.87,0.00,TP,TP20R
TP8,-0.41,45.87,0.00,TP,TP20R
TP9,0.27,70.82,0.00,TP,TP20R
U1,37.93,64.06,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,5.79,58.44,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,75.09,47.90,269.50,DS3231SN#,SOIC127P1032X265-16N
U4,122.44,49.90,0.00,MAX17048G+T10,SON50P200X200X80-9N
